file,packId,section,jsonPath,language,conceptId,issueType,originalValue,correctedValue,confidence,action
"data/ProgressiveLanguagePacks/qclaw/stage1/multilingual_foundation_pack_002_river_bridge/pack.json","multilingual_foundation_pack_002_river_bridge","phraseProgressionChains","phraseProgressionChains[0].steps[1].translations.en.text","en","NATURE_RIVER","concept_label_leak:vocabulary","in the nature river","in the river","medium","changed"
"data/ProgressiveLanguagePacks/qclaw/stage1/multilingual_foundation_pack_002_river_bridge/pack.json","multilingual_foundation_pack_002_river_bridge","phraseProgressionChains","phraseProgressionChains[0].steps[1].translations.en.tiles[2]","en","NATURE_RIVER","concept_label_leak:vocabulary","nature river","river","medium","changed"
"data/ProgressiveLanguagePacks/qclaw/stage1/multilingual_foundation_pack_002_river_bridge/pack.json","multilingual_foundation_pack_002_river_bridge","phraseProgressionChains","phraseProgressionChains[0].steps[1].translations.de.text","de","NATURE_RIVER","concept_label_leak","im nature river","","low","needs_manual_review"
"data/ProgressiveLanguagePacks/qclaw/stage1/multilingual_foundation_pack_002_river_bridge/pack.json","multilingual_foundation_pack_002_river_bridge","phraseProgressionChains","phraseProgressionChains[0].steps[1].translations.de.tiles[1]","de","NATURE_RIVER","concept_label_leak","nature river","","low","needs_manual_review"
"data/ProgressiveLanguagePacks/qclaw/stage1/multilingual_foundation_pack_002_river_bridge/pack.json","multilingual_foundation_pack_002_river_bridge","phraseProgressionChains","phraseProgressionChains[0].steps[1].translations.fr.text","fr","NATURE_RIVER","concept_label_leak","dans la nature river","","low","needs_manual_review"
"data/ProgressiveLanguagePacks/qclaw/stage1/multilingual_foundation_pack_002_river_bridge/pack.json","multilingual_foundation_pack_002_river_bridge","phraseProgressionChains","phraseProgressionChains[0].steps[1].translations.fr.tiles[2]","fr","NATURE_RIVER","concept_label_leak","nature river","","low","needs_manual_review"
"data/ProgressiveLanguagePacks/qclaw/stage1/multilingual_foundation_pack_002_river_bridge/pack.json","multilingual_foundation_pack_002_river_bridge","phraseProgressionChains","phraseProgressionChains[0].steps[1].translations.es.text","es","NATURE_RIVER","concept_label_leak","en la nature river","","low","needs_manual_review"
"data/ProgressiveLanguagePacks/qclaw/stage1/multilingual_foundation_pack_002_river_bridge/pack.json","multilingual_foundation_pack_002_river_bridge","phraseProgressionChains","phraseProgressionChains[0].steps[1].translations.es.tiles[2]","es","NATURE_RIVER","concept_label_leak","nature river","","low","needs_manual_review"
"data/ProgressiveLanguagePacks/qclaw/stage1/multilingual_foundation_pack_002_river_bridge/pack.json","multilingual_foundation_pack_002_river_bridge","phraseProgressionChains","phraseProgressionChains[0].steps[1].translations.zh.text","zh","NATURE_RIVER","concept_label_leak","在nature river里","","low","needs_manual_review"
"data/ProgressiveLanguagePacks/qclaw/stage1/multilingual_foundation_pack_002_river_bridge/pack.json","multilingual_foundation_pack_002_river_bridge","phraseProgressionChains","phraseProgressionChains[0].steps[1].translations.zh.tiles[0]","zh","NATURE_RIVER","concept_label_leak","在nature river里","","low","needs_manual_review"
